"가정별","성별","연령별",1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","전체","계",36969185,37534236,38123775,38723248,39326352,39910403,40405956,40805744,41213674,41621690,42031247,42449038,42869283,43295704,43747962,44194628,44641540,45092991,45524681,45953580,46286503,46616677,47008111,47370164,47644736,47892330,48082519,48184561,48438292,48683638,49054708,49307835,49554112,49936638,50199853,50428893,50746659,51014947,51217803,51361911,51585058,51764822,51836239,51744876,51628117,51558034,51500029,51447504
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","전체","0 - 4세",4107110,4025181,4033727,4075892,4112359,4119715,4013144,3845533,3664739,3469862,3330753,3277842,3203203,3238866,3316174,3403133,3483283,3545704,3559073,3524075,3452808,3349173,3259783,3162858,3006361,2843122,2699556,2524288,2359807,2298242,2301398,2273634,2271803,2315573,2330921,2309327,2295016,2290097,2240110,2151219,2038736,1930344,1776616,1617527,1483112,1374609,1284066,1227951
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","전체","5 - 9세",4626835,4584686,4458426,4316638,4168352,4056805,3990530,3967667,4017250,4083227,4109267,4021803,3843481,3644652,3440905,3281101,3191664,3166753,3188482,3269997,3367330,3459152,3521464,3533008,3494260,3416386,3321422,3233565,3136070,2976622,2809151,2671496,2497927,2336396,2276951,2279822,2252502,2251100,2297146,2308987,2288927,2276175,2278285,2229491,2141600,2024713,1908356,1755756
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","전체","10 - 14세",4382084,4395448,4458622,4532506,4605889,4624448,4588086,4491342,4347844,4193288,4047425,3961486,3926908,3975202,4034347,4050294,3978499,3824371,3655722,3439030,3271379,3164569,3129982,3156586,3231727,3325398,3409535,3465407,3483708,3439518,3368274,3284134,3209709,3119491,2969359,2803088,2666175,2488686,2327307,2264077,2267391,2241561,2250969,2296616,2309760,2286695,2270158,2268551
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","전체","15 - 19세",4604018,4587525,4519689,4411934,4331102,4304820,4339154,4407777,4481930,4549972,4581350,4550521,4442014,4297041,4138758,3996579,3909674,3896948,3953516,4031766,4060624,3999155,3842432,3615529,3391243,3216920,3108835,3080061,3103285,3184001,3282024,3368818,3428793,3468536,3435576,3373050,3289729,3222268,3132204,2982455,2820005,2685976,2518218,2345904,2278815,2281595,2257218,2257809
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","전체","20 - 24세",3743774,3936519,4093407,4264325,4370369,4393485,4347506,4274337,4245645,4207912,4177568,4208326,4342407,4429021,4504498,4531297,4491139,4391626,4247453,4077566,3938084,3853441,3854382,3933235,4011329,4045569,3970573,3788780,3587201,3380558,3226850,3153001,3139049,3175673,3268949,3370906,3457405,3511968,3559849,3529657,3498197,3439052,3392351,3278877,3099640,2914183,2772090,2597427
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","전체","25 - 29세",2727306,2862241,3072797,3299851,3499449,3713565,3917373,4097891,4206166,4291592,4346783,4342301,4326749,4264005,4216818,4203646,4237069,4300710,4344493,4424219,4441047,4418353,4352913,4224596,4064589,3941430,3853273,3843827,3927136,4018371,4056267,4001090,3834105,3664802,3464864,3315255,3259130,3269454,3279811,3368161,3493062,3587776,3645542,3672722,3624252,3562623,3483125,3422562
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","전체","30 - 34세",2355958,2446500,2525214,2595896,2682293,2787668,2937236,3089272,3344633,3529362,3756309,3966001,4134702,4259036,4345014,4376728,4353044,4296721,4257500,4212189,4162297,4181625,4247992,4332087,4421320,4473012,4450632,4360436,4226271,4078911,3954807,3856438,3877784,3967427,4058688,4086255,4045454,3871602,3688255,3491542,3360617,3306462,3307803,3302395,3380219,3483644,3561503,3613585
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","전체","35 - 39세",2310640,2300125,2279565,2269264,2298095,2369242,2462888,2552192,2564329,2647684,2703254,2805972,3042329,3273671,3489073,3712065,3924912,4092051,4204082,4312799,4357948,4324945,4273079,4228965,4187506,4154850,4216022,4267337,4361921,4449040,4509979,4466962,4387036,4241327,4087693,3949716,3854386,3892100,3964685,4054300,4095610,4051769,3866979,3678606,3474135,3322429,3258043,3262319
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","전체","40 - 44세",2069345,2132768,2178570,2226462,2274207,2289040,2276724,2262901,2259794,2282293,2337657,2419171,2477748,2545795,2608361,2676856,2796727,2995391,3217477,3405223,3625438,3860167,4020438,4155285,4271265,4342326,4312441,4248300,4184030,4156757,4135275,4244225,4306370,4409021,4483989,4527975,4479628,4398381,4230029,4078404,3951400,3847859,3872171,3941302,4028942,4055406,4003363,3827686
